,Nome
0,"('System Idle Process',)"
1,"('lsass.exe',)"
2,"('svchost.exe',)"
3,"('dwm.exe',)"
4,"('QAAdminAgent.exe',)"
5,"('System Idle Process',)"
6,"('dwm.exe',)"
7,"('Taskmgr.exe',)"
8,"('NortonSecurity.exe',)"
